Web_Link,URN,School_name,Ofsted_phase,Ofsted_region,Local_authority,Postcode,Total_number_of_pupils,Inspection_start_date,Inspection_end_date,Publication_date,Does_the_latest_graded_inspection_relate_to_the_URN_of_the_current_school,Overall_effectiveness,Category_of_concern,Quality_of_education,Behaviour_and_attitudes,Personal_development,Effectiveness_of_leadership_and_management,Safeguarding_is_effective,lat,lon
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103157,103157,Shaw Hill Primary School,Primary,West Midlands,Birmingham,B8 3AN,479,2017-08-03,2017-09-03,2017-04-24,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.48713705,-1.8457607
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103159,103159,Adderley Primary School,Primary,West Midlands,Birmingham,B8 1DZ,483,2016-12-13,2016-12-14,2017-01-24,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.4836194,-1.861970933
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103162,103162,Barford Primary School,Primary,West Midlands,Birmingham,B16 0EF,407,2012-11-14,2012-11-15,2012-05-12,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.48413055,-1.93489915
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103163,103163,Beeches Junior School,Primary,West Midlands,Birmingham,B42 2PY,362,2013-08-10,2013-09-10,2013-04-11,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.5406917,-1.9081721
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103164,103164,Beeches Infant School,Primary,West Midlands,Birmingham,B42 2PY,270,2017-06-27,2017-06-28,2017-07-20,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.5406917,-1.9081721
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103172,103172,Bordesley Green Primary School,Primary,West Midlands,Birmingham,B9 5XX,681,2023-03-21,2023-03-22,2023-05-15,Yes,Good,,Good,Good,Good,Good,Yes,52.4784518,-1.83890325
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103178,103178,Cherry Orchard Primary School,Primary,West Midlands,Birmingham,B20 2LB,465,2023-03-28,2023-03-29,2023-06-14,Yes,Good,,Good,Good,Good,Good,Yes,52.52062726,-1.92166784
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103188,103188,Colmore Junior School,Primary,West Midlands,Birmingham,B14 6AJ,478,2017-06-20,2017-06-21,2017-07-18,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.427259815,-1.900046392
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103189,103189,Colmore Infant and Nursery School,Primary,West Midlands,Birmingham,B14 6AJ,411,2011-10-10,2011-11-10,2011-02-11,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.427259815,-1.900046392
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103190,103190,Cotteridge Primary School,Primary,West Midlands,Birmingham,B30 2HT,445,2014-02-07,2014-03-07,2014-03-09,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.41902305,-1.924856
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103192,103192,Anderton Park Primary School,Primary,West Midlands,Birmingham,B12 8BL,456,2017-05-12,2017-06-12,2018-01-24,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.45087815,-1.87487328
