,Web Link,URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,Postcode,Number of warning notices issued in 2022/23 academic year,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Latest ungraded inspection number since last graded inspection,Does the ungraded inspection relate to the URN of the current school?,URN at time of the ungraded inspection,LAESTAB at time of the ungraded inspection,School name at time of the ungraded inspection,School type at time of the ungraded inspection,Number of ungraded inspections since the last graded inspection,Date of latest ungraded inspection,Ungraded inspection publication date,Did the latest ungraded inspection convert to a graded inspection?,Ungraded inspection overall outcome,Number of monitoring and urgent inspections since last graded inspection,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Inspection end date,Publication date,Does the latest graded inspection relate to the URN of the current school?,URN at time of latest graded inspection,LAESTAB at time of latest graded inspection,School name at time of latest graded inspection,School type at time of latest graded inspection,Current school type used for chart C6,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Previous inspection number,Previous inspection start date,Previous inspection end date,Previous publication date,Does the previous graded inspection relate to the URN of the current school?,URN at time of previous graded inspection,LAESTAB at time of previous graded inspection,School name at time of previous graded inspection,School type at time of previous graded inspection,Previous graded inspection overall effectiveness,Previous category of concern,Previous quality of education,Previous behaviour and attitudes,Previous personal development,Previous effectiveness of leadership and management,Previous safeguarding is effective?,Previous early years provision (where applicable),Previous sixth form provision (where applicable)
1402,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103120,103120.0,3301001.0,Bordesley Green East Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Yardley",,,,,B33 8QB,,5.0,94.0,2.0,5.0,10080827.0,Yes,103120.0,3301001.0,Bordesley Green East Nursery School,LA Nursery School,1.0,05/03/2019,24/03/2019,No,School remains Good,,ITS449512,S5 Inspection,S5 Inspection,Schools - S5,21/01/2015,22/01/2015,24/02/2015,Yes,103120.0,3301001.0,Bordesley Green East Nursery School,LA Nursery School,Maintained school,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0,ITS376823,21/03/2012,22/03/2012,19/04/2012,Yes,103120.0,3301001.0,Bordesley Green East Nursery School,LA Nursery School,2.0,,9.0,9.0,9.0,2.0,9,8.0,9.0
1403,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103121,103121.0,3301002.0,Brearley Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Ladywood",,,,,B19 3XJ,,5.0,132.0,2.0,5.0,,,,,,,,,,,,,10210907,S5 Inspection,S5 Inspection,Schools - S5,15/03/2022,16/03/2022,11/05/2022,Yes,103121.0,3301002.0,Brearley Nursery School,LA Nursery School,Maintained school,1.0,,1.0,1.0,1.0,1.0,Yes,9.0,9.0,ITS448079,04/12/2014,05/12/2014,19/12/2014,Yes,103121.0,3301002.0,Brearley Nursery School,LA Nursery School,1.0,,9.0,9.0,9.0,1.0,9,1.0,9.0
1404,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103122,103122.0,3301006.0,Garretts Green Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Yardley",,,,,B26 2JL,,3.0,73.0,2.0,5.0,,,,,,,,,,,,,10058495,S5 Inspection,S5 Inspection,Schools - S5,22/01/2019,23/01/2019,04/03/2019,Yes,103122.0,3301006.0,Garretts Green Nursery School,LA Nursery School,Maintained school,1.0,,9.0,9.0,9.0,1.0,Yes,9.0,9.0,ITS400583,01/11/2012,02/11/2012,22/11/2012,Yes,103122.0,3301006.0,Garretts Green Nursery School,LA Nursery School,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0
1405,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103123,103123.0,3301008.0,Perry Beeches Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Perry Barr",,,,,B42 2PX,,2.0,73.0,3.0,5.0,10268999.0,Yes,103123.0,3301008.0,Perry Beeches Nursery School,LA Nursery School,2.0,04/07/2023,21/09/2023,No,School remains Good (Concerns) - S5 Next,,ITS400584,S5 Inspection,S5 Inspection,Schools - S5,26/09/2012,27/09/2012,22/10/2012,Yes,103123.0,3301008.0,Perry Beeches Nursery School,LA Nursery School,Maintained school,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,ITS336012,05/05/2010,06/05/2010,27/05/2010,Yes,103123.0,3301008.0,Perry Beeches Nursery School,LA Nursery School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
1406,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103124,103124.0,3301009.0,St Thomas Centre Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Ladywood",,,,,B15 2AF,,5.0,114.0,2.0,5.0,10257041.0,Yes,103124.0,3301009.0,St Thomas Centre Nursery School,LA Nursery School,2.0,14/02/2023,30/03/2023,No,School remains Outstanding (Concerns) - S5 Next,,ITS426919,S5 Inspection,S5 Inspection,Schools - S5,11/12/2013,12/12/2013,21/01/2014,Yes,103124.0,3301009.0,St Thomas Centre Nursery School,LA Nursery School,Maintained school,1.0,,9.0,9.0,9.0,1.0,9,9.0,9.0,ITS355322,13/10/2010,14/10/2010,08/11/2010,Yes,103124.0,3301009.0,St Thomas Centre Nursery School,LA Nursery School,1.0,,9.0,9.0,9.0,1.0,9,1.0,9.0
1407,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103125,103125.0,3301010.0,Highfield Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Hodge Hill",,,,,B8 3QU,,5.0,179.0,2.0,5.0,10025206.0,Yes,103125.0,3301010.0,Highfield Nursery School,LA Nursery School,1.0,13/03/2018,23/04/2018,No,School remains Good,,ITS431114,S5 Inspection,S5 Inspection,Schools - S5,26/02/2014,27/02/2014,19/03/2014,Yes,103125.0,3301010.0,Highfield Nursery School,LA Nursery School,Maintained school,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,ITS355323,12/07/2011,13/07/2011,06/09/2011,Yes,103125.0,3301010.0,Highfield Nursery School,LA Nursery School,1.0,,9.0,9.0,9.0,1.0,9,1.0,9.0
1408,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103126,103126.0,3301012.0,Marsh Hill Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Erdington",,,,,B23 7HG,,4.0,118.0,2.0,5.0,10019530.0,Yes,103126.0,3301012.0,Marsh Hill Nursery School,LA Nursery School,1.0,22/05/2018,27/06/2018,No,School remains Outstanding,,ITS427065,S5 Inspection,S5 Inspection,Schools - S5,12/12/2013,13/12/2013,15/02/2014,Yes,103126.0,3301012.0,Marsh Hill Nursery School,LA Nursery School,Maintained school,1.0,,9.0,9.0,9.0,1.0,9,9.0,9.0,ITS355324,03/03/2011,04/03/2011,25/03/2011,Yes,103126.0,3301012.0,Marsh Hill Nursery School,LA Nursery School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
1409,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103127,103127.0,3301014.0,West Heath Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",,,,,B31 3HB,,5.0,117.0,2.0,4.0,10019496.0,Yes,103127.0,3301014.0,West Heath Nursery School,LA Nursery School,1.0,07/11/2018,29/11/2018,No,School remains Good,,ITS426920,S5 Inspection,S5 Inspection,Schools - S5,03/10/2013,04/10/2013,23/10/2013,Yes,103127.0,3301014.0,West Heath Nursery School,LA Nursery School,Maintained school,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,ITS355325,19/10/2010,20/10/2010,12/11/2010,Yes,103127.0,3301014.0,West Heath Nursery School,LA Nursery School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
1410,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103128,103128.0,3301015.0,Goodway Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Perry Barr",,,,,B44 8RL,,3.0,95.0,2.0,5.0,,,,,,,,,,,,,10088512,S5 Inspection,S5 Inspection,Schools - S5,17/12/2019,18/12/2019,15/01/2020,Yes,103128.0,3301015.0,Goodway Nursery School,LA Nursery School,Maintained school,1.0,,1.0,1.0,1.0,1.0,Yes,9.0,9.0,ITS447910,11/09/2014,12/09/2014,23/10/2014,Yes,103128.0,3301015.0,Goodway Nursery School,LA Nursery School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
1411,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103129,103129.0,3301016.0,Kings Norton Nursery School,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",,,,,B38 8SY,,4.0,93.0,2.0,5.0,10047565.0,Yes,103129.0,3301016.0,Kings Norton Nursery School,LA Nursery School,1.0,19/04/2018,10/05/2018,No,School remains Outstanding,,ITS448080,S5 Inspection,S5 Inspection,Schools - S5,18/09/2014,19/09/2014,23/10/2014,Yes,103129.0,3301016.0,Kings Norton Nursery School,LA Nursery School,Maintained school,1.0,,9.0,9.0,9.0,1.0,9,1.0,9.0,ITS376826,12/07/2012,13/07/2012,11/09/2012,Yes,103129.0,3301016.0,Kings Norton Nursery School,LA Nursery School,1.0,,9.0,9.0,9.0,1.0,9,8.0,9.0
