URN,School name,Postcode,lat,lon
103157,Shaw Hill Primary School,B8 3AN,52.48713705,-1.8457607
103159,Adderley Primary School,B8 1DZ,52.4836194,-1.861970933
103162,Barford Primary School,B16 0EF,52.48413055,-1.93489915
103163,Beeches Junior School,B42 2PY,52.5406917,-1.9081721
103164,Beeches Infant School,B42 2PY,52.5406917,-1.9081721
103172,Bordesley Green Primary School,B9 5XX,52.4784518,-1.83890325
103178,Cherry Orchard Primary School,B20 2LB,52.52062726,-1.92166784
103188,Colmore Junior School,B14 6AJ,52.427259815,-1.900046392
103189,Colmore Infant and Nursery School,B14 6AJ,52.427259815,-1.900046392
103190,Cotteridge Primary School,B30 2HT,52.41902305,-1.924856
103192,Anderton Park Primary School,B12 8BL,52.45087815,-1.87487328
103193,Regents Park Community Primary School,B10 0NJ,52.4715221,-1.8695114
103196,Summerfield Junior and Infant School,B18 4AH,52.4886566,-1.94044835
103200,George Dixon Primary School,B17 8LE,52.477074,-1.9566617
103201,Gilbertstone Primary School,B26 1EH,52.45397605,-1.80847055
103205,Grendon Primary School,B14 4RB,52.412416767,-1.881564367
103208,Gunter Primary School,B24 0RU,52.521276575,-1.80713805
103209,Hall Green Junior School,B28 9AJ,52.431411779,-1.844952914
103210,Hall Green Infant School,B28 0AR,52.431653029,-1.846824793
103213,Story Wood School,B23 5AJ,52.5368724,-1.870051
103214,Hawthorn Primary School,B44 8QR,52.536252325,-1.877191162
103217,Ward End Primary School,B8 2RA,52.49776815,-1.83164595
103221,Kingsland Primary School (NC),B44 9NA,52.5574398,-1.8880953
103223,Lakey Lane Junior and Infant School,B28 8RY,52.431343275,-1.831749512
103227,Lozells Junior and Infant School and Nursery,B19 2EP,52.50262575,-1.90512875
103228,Lyndon Green Junior School,B26 1LU,52.4614004,-1.793998667
103229,Lyndon Green Infant School,B26 1LZ,52.46034565,-1.79447105
103233,Marsh Hill Primary School,B23 7HY,52.52502608,-1.86875707
103237,Nelson Junior and Infant School,B1 2PJ,52.4811495,-1.9166959
103240,Paget Primary School,B24 0JP,52.5230409,-1.816876743
103241,Park Hill Primary School,B13 8BB,52.451392178,-1.887602711
103243,Allens Croft Primary School,B14 6RP,52.421217475,-1.913713375
103246,Raddlebarn Primary School,B29 7TD,52.436811055,-1.926946624
103247,Redhill Primary School,B25 8HQ,52.461451177,-1.833149684
103248,Rednal Hill Junior School,B45 8QY,52.3924629,-1.998691953
103249,Rednal Hill Infant School,B45 8QY,52.3924629,-1.998691953
103252,Severne Junior Infant and Nursery School,B27 7HR,52.433752806,-1.822594135
103255,Sladefield Infant School,B8 2TJ,52.491786725,-1.832443075
103256,Somerville Primary (NC) School,B10 9EN,52.470672019,-1.853984138
103257,Stanville Primary School,B26 3YN,52.462084,-1.779287233
103261,St Benedict's Primary School,B10 9DP,52.466574525,-1.845096281
103262,Stechford Primary School,B33 8SJ,52.4794375,-1.8136933
103263,Colebourne Primary School,B34 6BJ,52.492856209,-1.809189745
103265,Ladypool Primary School,B11 1QT,52.461338133,-1.874260867
103266,Sundridge Primary School,B44 9NY,52.558197719,-1.895512196
103267,Court Farm Primary School,B23 5NS,52.5335206,-1.85261439
103268,Thornton Primary School,B8 2LQ,52.49155394,-1.82805186
103279,World's End Junior School,B32 2SA,52.45521085,-1.9876292
103281,Yardley Wood Community Primary School,B14 4ER,52.415947676,-1.861654156
103284,Yorkmead Junior and Infant School,B28 8BB,52.440713092,-1.845150467
103286,Broadmeadow Junior School,B30 3QJ,52.4088886,-1.912775233
103288,Broadmeadow Infant School,B30 3QJ,52.4088886,-1.912775233
103289,Bellfield Infant School (NC),B31 1PT,52.416724233,-1.9725698
103291,Bellfield Junior School,B31 1PT,52.416724233,-1.9725698
103295,Welsh House Farm Community School and Special Needs Resources Base,B32 2NG,52.452552667,-1.9743674
103296,The Meadows Primary School,B31 2SW,52.403620845,-1.980952636
103298,Chilcote Primary School,B28 0PB,52.416447397,-1.844834448
103300,Blakesley Hall Primary School,B33 8TH,52.4751317,-1.8158514
103310,Woodgate Primary School,B32 3PN,52.4376387,-2.00511915
103313,Deykin Avenue Junior and Infant School,B6 7BU,52.5141352,-1.8761357
103314,Hollywood Primary School,B14 4TG,52.402581725,-1.879063442
103315,Cofton Primary School,B31 4ST,52.389944529,-1.968848743
103317,William Murdoch Primary School,B21 9NT,52.509825189,-1.935569178
103318,Featherstone Primary School,B23 6PR,52.52623259,-1.85100903
103320,Glenmead Primary School,B44 8UQ,52.542744075,-1.900985025
103324,Arden Primary School,B11 4SF,52.45539185,-1.8633174
103326,Water Mill Primary School,B29 6TS,52.44584735,-1.9479914
103328,Welford Primary School,B20 2BL,52.5043211,-1.9202642
103332,Chad Vale Primary School,B15 3JU,52.46396325,-1.94468905
103334,Woodthorpe Junior and Infant School,B14 6ET,52.418926611,-1.897279042
103337,World's End Infant and Nursery School,B32 2SA,52.45521085,-1.9876292
103339,Kitwell Primary School,B32 4DL,52.4310136,-2.0097808
103341,Boldmere Junior School,B73 5SD,52.545022819,-1.842497786
103342,Boldmere Infant School and Nursery,B73 5SD,52.545022819,-1.842497786
103345,Minworth Junior and Infant School,B76 9BU,52.528291525,-1.769227662
103349,Wylde Green Primary School,B73 5JL,52.537423696,-1.831239787
103351,Moor Hall Primary School,B75 6RE,52.585451933,-1.814889422
103353,Maney Hill Primary School,B72 1JU,52.551230174,-1.818101933
103356,Penns Primary School,B72 1BS,52.533849773,-1.815576605
103362,Benson Community School,B18 5TD,52.4978711,-1.93057495
103368,Kingsthorne Primary School,B44 0BX,52.5442522,-1.88107352
103372,Woodcock Hill Primary School,B31 1BS,52.4319361,-1.9830542
103381,Elms Farm Community Primary School,B33 0PJ,52.4638991,-1.77327245
103383,Bells Farm Primary School,B14 5QP,52.406688058,-1.907419475
103384,Nelson Mandela School,B12 8EH,52.456747225,-1.874920175
103388,Little Sutton Primary School,B75 5NL,52.5927807,-1.812661875
103390,Coppice Primary School,B75 6TJ,52.580885783,-1.8248679
103391,Calshot Primary School,B42 2BY,52.543157635,-1.920661181
103392,Grove School,B21 9HB,52.5057739,-1.93315245
103395,New Hall Primary School,B75 7NQ,52.565667825,-1.7807831
103397,Christ Church CofE Controlled Primary School and Nursery,B11 1LF,52.46392975,-1.8739606
103398,Moseley Church of England Primary School,B13 9EH,52.443727142,-1.883854142
103401,"St James Church of England Primary School, Handsworth",B21 8NH,52.5082369,-1.94947765
103404,St Matthew's CofE Primary School,B7 4JR,52.4889337,-1.8786084
103406,St Saviour's C of E Primary School,B8 1JB,52.491541267,-1.858249333
103410,St Mary's Church of England Primary School,B29 6NU,52.43903755,-1.94402747
103416,St Laurence Church Junior School,B31 2DJ,52.413820991,-1.962665336
103417,St Vincent's Catholic Primary School,B7 4HP,52.48488346,-1.87553588
103421,Holy Family Catholic Primary School,B10 0HT,52.4653751,-1.8461547
103423,Christ The King Catholic Primary School,B44 0QN,52.543303773,-1.8784722
103424,Corpus Christi Catholic Primary School,B33 8BL,52.4802764,-1.8123497
103425,English Martyrs' Catholic Primary School,B11 3JW,52.4510676,-1.86365205
103426,Maryvale Catholic Primary School,B44 9AG,52.5480138,-1.8915107
103427,The Oratory Roman Catholic Primary School,B16 9ER,52.476990608,-1.929414333
103430,Our Lady of Lourdes Catholic Primary School,B13 0EU,52.4220367,-1.8602733
103431,St Augustine's Catholic Primary School,B21 8ED,52.514592571,-1.944732614
103433,St Catherine of Siena Catholic Primary School,B15 2AY,52.4718861,-1.9014552
103434,St Anne's Catholic Primary School,B12 0ER,52.4701782,-1.8795707
103437,St Francis Catholic Primary School,B19 1PH,52.49775855,-1.91458
103438,St Mary's Catholic Primary School,B17 0DN,52.456782633,-1.953101133
103439,St Patrick's Catholic Primary School,B18 7QW,52.4864087,-1.9318652
103440,St Edmund's Catholic Primary School,B18 7PA,52.4867745,-1.9234281
103443,Our Lady and St Rose of Lima Catholic Primary School,B29 5DY,52.435915375,-1.96342865
103444,King David Primary School,B13 8EY,52.44423856,-1.89037842
103445,Bournville Village Primary,B30 1JY,52.429439433,-1.9366681
103447,St Edward's Catholic Primary School,B29 7PN,52.438863569,-1.917954519
103453,St Margaret Mary RC Junior and Infant School,B23 7AB,52.532838233,-1.8636166
103455,St Dunstan's Catholic Primary School,B14 7LP,52.4322476,-1.890732441
103456,St Teresa's Catholic Primary School,B20 2NY,52.516981114,-1.922191886
103458,St Gerard's RC Junior and Infant School,B35 6LB,52.522593,-1.7866056
103459,St Laurence Church Infant School,B31 2DJ,52.413820991,-1.962665336
103460,St Bernadette's Catholic Primary School,B25 8QL,52.46925038,-1.82680036
103462,St Bernard's Catholic Primary School,B13 9QE,52.438436455,-1.863442545
103463,St Jude's Catholic Primary School,B14 5PD,52.4058209,-1.88941805
103465,St Ambrose Barlow Catholic Primary School,B28 9JJ,52.42401603,-1.836443321
103466,St Alban's Catholic Primary School,B14 5AL,52.415211388,-1.889897512
103467,St Martin de Porres Catholic Primary School,B13 9DN,52.447898829,-1.880840757
103469,St Peter's Catholic Primary School,B32 3QD,52.436633425,-2.0002993
103470,St Cuthbert's RC Junior and Infant (NC) School,B8 2PS,52.48670995,-1.8181334
103476,St Clare's Catholic Primary School,B20 3RT,52.50961418,-1.91365444
103478,St John and Monica Catholic Primary School,B13 8DW,52.45059295,-1.89426665
103479,Holly Hill Methodist CofE Infant School,B45 0EU,52.404750933,-2.017167367
103483,Hodge Hill Girls' School,B36 8EY,52.5023076,-1.8181594
103486,Kings Heath Boys,B13 0QP,52.423547706,-1.882059719
103493,Bordesley Green Girls' School & Sixth Form,B9 4TR,52.4780255,-1.858632
103497,Queensbridge School,B13 8QB,52.4411859,-1.895741643
103498,Selly Park  Girls' School,B29 7PH,52.4383887,-1.920558191
103501,Wheelers Lane Technology College,B13 0SF,52.428680133,-1.887431467
103503,Hodge Hill College,B36 8HB,52.5014654,-1.8210552
103509,Holte School,B19 2EP,52.50262575,-1.90512875
103514,Swanshurst School,B13 0TW,52.4295942,-1.8746715
103519,Moseley School and Sixth Form,B13 9UU,52.44019945,-1.86297745
103531,St Paul's School for Girls,B16 9SL,52.4757102,-1.9406213
103534,St John Wall Catholic School,B21 8HH,52.51617395,-1.9507705
103539,Cardinal Wiseman Catholic School,B44 9SR,52.5493128,-1.886118919
103543,Walmley Junior School,B76 1JB,52.53524615,-1.79048335
103544,Walmley Infant School,B76 1JB,52.53524615,-1.79048335
